category, TP, FP, FN, Precision, Recall, F1-score
hapten, 63, 1, 55, 0.984375, 0.533898305084746, 0.692307692307692
lipid, 1, 0, 22, 1, 0.0434782608695652, 0.0833333333333333
nucleotide, 33, 0, 18, 1, 0.647058823529412, 0.785714285714286
peptide, 2, 4, 11, 0.333333333333333, 0.153846153846154, 0.210526315789474
protein, 194, 159, 14, 0.54957507082153, 0.932692307692308, 0.691622103386809
sugar, 11, 11, 37, 0.5, 0.229166666666667, 0.314285714285714
virus, 17, 3, 21, 0.85, 0.447368421052632, 0.586206896551724
OVERALL, 321, 178, 178, 0.643286573146293, 0.643286573146293, 0.643286573146293
