category, TP, FP, FN, Precision, Recall, F1-score
hapten, 112, 4, 6, 0.96551724137931, 0.949152542372881, 0.957264957264957
lipid, 22, 21, 1, 0.511627906976744, 0.956521739130435, 0.666666666666667
nucleotide, 50, 16, 1, 0.757575757575758, 0.980392156862745, 0.854700854700855
peptide, 9, 5, 4, 0.642857142857143, 0.692307692307692, 0.666666666666667
protein, 173, 5, 35, 0.971910112359551, 0.831730769230769, 0.896373056994819
sugar, 25, 5, 23, 0.833333333333333, 0.520833333333333, 0.641025641025641
virus, 35, 17, 3, 0.673076923076923, 0.921052631578947, 0.777777777777778
OVERALL, 426, 73, 73, 0.853707414829659, 0.853707414829659, 0.853707414829659
