Day 4 15-164-17'CL, 2 PHENYL 5 OX-A-ZOL-ONE
48SNQP32, 2 PHENY-LOX-A-ZOL-ONE
MMW.7.8'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
47SNQP10, 2 PHENY-LOX-A-ZOL-ONE
Na 01-H'CL, DNP
103-31'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
Na 24-H'CL, DNP
MMW.2.6.14'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
NQT17/10B'CL, 2 PHENY-LOX-A-ZOL-ONE
AB4'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
587'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
C488-20C'CL,  4 HY-DROXY 3 NI-TRO PHENYL  ACETYL COU-PLED TO CHICK-EN GAM-MA GLOB-U-LIN
4-4-20'CL, FLU-O-RES-CEIN HY-BRIDO-MA BIND-ING CON-STAN-T=1.7X10-EX-P10
H26'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQ11.5.2'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQT17/30D'CL, 2 PHENY-LOX-A-ZOL-ONE
48SNQP19, 2 PHENY-LOX-A-ZOL-ONE
Fc_14-H'CL, DINI-TRO-PHENYL
95B6'CL, FLU-O-RES-CEIN
94F5'CL, FLU-O-RES-CEIN
M02/10/01, MUSK ODOR-ANT TRASE-OLIDE  6 ACETYL 1 ISO-PROPYL 2 3 3 5 TETRAM-ETHYL IN-DANE
47SNQP28, 2 PHENY-LOX-A-ZOL-ONE
B17-4'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
NQ10.3.8'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
48SNQP119, 2 PHENY-LOX-A-ZOL-ONE
MMW.8.6'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Nb 08-H'CL, DNP
7C83'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Fa_08-H'CL, DINI-TRO-PHENYL
A39.40.5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
5E2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL CON-JU-GAT-ED CHICK-EN GAM-MA GLOB-U-LIN
B17-9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Na 60-H'CL, DNP
NQT17/45A'CL, 2 PHENY-LOX-A-ZOL-ONE
Day 4 15-164-3'CL, 2 PHENYL 5 OX-A-ZOL-ONE
Ga_17-H'CL, DINI-TRO-PHENYL
2B2'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQT15/26A'CL, 2 PHENY-LOX-A-ZOL-ONE
NQ10.2.3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
12C4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
A6,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MH5'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
Ma_60-H'CL, DINI-TRO-PHENYL
P4.16.25'CL, 4  HY-DROXY 3 NI-TRO-PHENYL ACETYL ID-IO-TYP-IC AN-TI-BOD-IES
281.4'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
119-a33'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
MMW.4.4'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Na 88-H'CL, DNP
F10.17-7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
HD11.4'CL, 2 PHENY-LOX-A-ZOL-ONE
NQT15/4C'CL, 2 PHENY-LOX-A-ZOL-ONE
1-185-37'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
4D4'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
NQT17/29C'CL, 2 PHENY-LOX-A-ZOL-ONE
AN05'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=9.5X10-EX-P6
NQT17/40A'CL, 2 PHENY-LOX-A-ZOL-ONE
Ma_65-H'CL, DINI-TRO-PHENYL
Ia_12-H'CL, DINI-TRO-PHENYL
NQ10.12.5'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQ22.87.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Fb_05-H'CL, DINI-TRO-PHENYL
40SNQP5, 2 PHENY-LOX-A-ZOL-ONE
Lb 80-H'CL, DNP
3E3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
43SNQP8, 2 PHENY-LOX-A-ZOL-ONE
N1C12'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
B12-9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
DB1-453.2'CL, 5 DIMETHY-LAMINON-APH-THA-LENE 1 SUL-FONYL HY-BRIDO-MA
NQT15/18'CL, 2 PHENY-LOX-A-ZOL-ONE.
M02/11/01, MUSK ODOR-ANT TRASE-OLIDE  6 ACETYL 1 ISO-PROPYL 2 3 3 5 TETRAM-ETHYL IN-DANE
Nb 62-H'CL, DNP
AB5'CL, ACETYL-CHOLINE RE-CEP-TOR
Ia_35-H'CL, DINI-TRO-PHENYL
H1-51'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
5-14'CL, FLU-O-RES-CEIN  KA=1.0X10-EX-P8
40SNQP13, 2 PHENY-LOX-A-ZOL-ONE
Bg53-5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL  KA=2.6X10-EX-P7
18.1.16'CL, 4  HY-DROXY 3 NI-TRO-PHENYL ACETYL ID-IO-TYP-IC AN-TI-BOD-IES
47SNQP23, 2 PHENY-LOX-A-ZOL-ONE
Mb_44-H'CL, DINI-TRO-PHENYL
11G3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
C6,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
103-2'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
Nb 49-H'CL, DNP
133.23'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
NQ11 7.12'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
E11,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
La 58-H'CL, DNP
NQ22.56.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
48SNQP27, 2 PHENY-LOX-A-ZOL-ONE
Mb_49-H'CL, DINI-TRO-PHENYL
NQ22.10.17'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
S2D8'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
43SNQP25, 2 PHENY-LOX-A-ZOL-ONE
NQ7 41.3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
179'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
40.3'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
103-34'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
Mb_62-H'CL, DINI-TRO-PHENYL
Fc_20-H'CL, DINI-TRO-PHENYL
MMW.2.7.16'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
NQT15/23C'CL, 2 PHENY-LOX-A-ZOL-ONE
MMW.2.7.11'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
MMW.2.7.3'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
8C16'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Da_14-H'CL, DINI-TRO-PHENYL
MH6'CL, ACETYL-CHOLINE RE-CEP-TOR
3B62'CL, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL HY-BRIDO-MA
F10.17-2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
44SNQP29, 2 PHENY-LOX-A-ZOL-ONE
d9/12'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
B423'CL, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL HY-BRIDO-MA
NQT15/3'CL, 2 PHENY-LOX-A-ZOL-ONE
MMW.7.7'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
F10.12-5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
G6,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
ANTI-DNP, DINI-TRO-PHENYL
A8/4'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
NQ22.15.18'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQ5 4.3.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
8/7p1'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
p4'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Jb_46-H'CL, DINI-TRO-PHENYL
A25.9.7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
AN03'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=6.2X10-EX-P4
47SNQP36, 2 PHENY-LOX-A-ZOL-ONE
Ma_12-H'CL, DINI-TRO-PHENYL
7C80'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
44SNQP24, 2 PHENY-LOX-A-ZOL-ONE
8/7p6'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
DBF1-386.5'CL, 5 DIMETHY-LAMINON-APH-THA-LENE 1 SUL-FONYL HY-BRIDO-MA
10-25'CL, FLU-O-RES-CEIN  KA=5.4X10-EX-P7
8G6'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQ2 12.4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQ7 6.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
7C30'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Jb_41-H'CL, DINI-TRO-PHENYL
MEMORY 9, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
48SNQP22, 2 PHENY-LOX-A-ZOL-ONE
NQT17/53A'CL, 2 PHENY-LOX-A-ZOL-ONE
48SNQP9, 2 PHENY-LOX-A-ZOL-ONE
NQ19.2.4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
H1-7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
MMW.8.11'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
40SNQP26, 2 PHENY-LOX-A-ZOL-ONE
132.16'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
Ia_23-H'CL, DINI-TRO-PHENYL
NQT17/30A'CL, 2 PHENY-LOX-A-ZOL-ONE
NQ18.36.44'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MMW.8.16'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
NQ5 61.1.2'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQT15/5A'CL, 2 PHENY-LOX-A-ZOL-ONE
MMW.4.14'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Day 4 15-167-12'CL, 2 PHENYL 5 OX-A-ZOL-ONE
d9/7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Bg53-32'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MEMORY 4, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
MMW.2.7.8'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Day 4 15-164-8'CL, 2 PHENYL 5 OX-A-ZOL-ONE
NQT15/17B'CL, 2 PHENY-LOX-A-ZOL-ONE
Nb 37-H'CL, DNP
43SNQP7, 2 PHENY-LOX-A-ZOL-ONE
NQ19.8.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
8C35'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
47SNQP18, 2 PHENY-LOX-A-ZOL-ONE
B5'CL, FLU-O-RES-CEIN
CH4G5'CL, FLU-O-RES-CEIN
NQ10.12.4.7'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
18-2-3'CL, FLU-O-RES-CEIN HY-BRIDO-MA BIND-ING CON-STAN-T=2.9X10-EX-P10
43SNQP15, 2 PHENY-LOX-A-ZOL-ONE
13G7'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
aly17-9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Bg359-8'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
8C29'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Ib_20-H'CL, DINI-TRO-PHENYL
44SNQP2, 2 PHENY-LOX-A-ZOL-ONE
C488-15E'CL,  4 HY-DROXY 3 NI-TRO PHENYL  ACETYL COU-PLED TO CHICK-EN GAM-MA GLOB-U-LIN
NQ22.33.4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
AN01'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=5.1X10-EX-P4
NQT17/40'CL, 2 PHENY-LOX-A-ZOL-ONE
MMW.2.6.11'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
NQ7.7.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
2A1-83'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Bg359-4'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL  KA=2.9X10-EX-P7
8/23p1'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
S1F2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Mb_55-H'CL, DINI-TRO-PHENYL
+13-77'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Ib_02-H'CL, DINI-TRO-PHENYL
Day 2 15-164-2'CL, 2 PHENYL 5 OX-A-ZOL-ONE
48SNQP138, 2 PHENY-LOX-A-ZOL-ONE
A31.90'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
5C3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQT15/2'CL, 2 PHENY-LOX-A-ZOL-ONE
MMW.2.7.1'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL-DA_07 H CL  DINI-TRO-PHENYL
219.7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
Fa_07-H'CL, DINI-TRO-PHENYL
Ma_41-H'CL, DINI-TRO-PHENYL
BJ3.33'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HAP-TEN
AB5'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
MMW.2.6.16'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Jb_16-H'CL, DINI-TRO-PHENYL
C488-25E'CL,  4 HY-DROXY 3 NI-TRO PHENYL  ACETYL COU-PLED TO CHICK-EN GAM-MA GLOB-U-LIN
La 64-H'CL, DNP
S1F12'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Ma_28-H'CL, DINI-TRO-PHENYL
NQ17.10.24'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
44SNQP32, 2 PHENY-LOX-A-ZOL-ONE
Bg46-1'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL  KA=1.3X10-EX-P7
Ga_11-H'CL, DINI-TRO-PHENYL
Fc_18-H'CL, DINI-TRO-PHENYL
MMW.7.6'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
MH1'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
B12-3'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MEMORY 11, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
B17-8'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MMW.8.4'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
103-A1'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
p2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
NQ10 15.3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
AN07'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=2.5X10-EX-P7
F10.17-5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Ga_16-H'CL, DINI-TRO-PHENYL
167'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
44SNQP14, 2 PHENY-LOX-A-ZOL-ONE
Day 4 15-164-14'CL, 2 PHENYL 5 OX-A-ZOL-ONE
KSa1F5'CL, FLU-O-RES-CEIN
B12-8'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Jc_13-H'CL, DINI-TRO-PHENYL
MH6'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
d9/4'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
A2,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
8/23p3'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Lb 84-H'CL, DNP
Mb_02-H'CL, DINI-TRO-PHENYL
NQT17/45C'CL, 2 PHENY-LOX-A-ZOL-ONE
NQT15/24A'CL, 2 PHENY-LOX-A-ZOL-ONE
47SNQP21, 2 PHENY-LOX-A-ZOL-ONE
8/7p10'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
103-24'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
La 39-H'CL, DNP
Lb 89-H'CL, DNP
40SNQP3, 2 PHENY-LOX-A-ZOL-ONE
126'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
NQT15/4A'CL, 2 PHENY-LOX-A-ZOL-ONE
Da_13-H'CL, DINI-TRO-PHENYL
La 52-H'CL, DNP
NQ22.9.11'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
d9/11'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
12-40'CL, FLU-O-RES-CEIN  KA=3.4X10-EX-P6
NQ2 17.4.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
B1-48'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
NQT17/40C'CL, 2 PHENY-LOX-A-ZOL-ONE
Ca_22-H'CL, DINI-TRO-PHENYL
M02/01/01, MUSK ODOR-ANT TRASE-OLIDE  6 ACETYL 1 ISO-PROPYL 2 3 3 5 TETRAM-ETHYL IN-DANE
La 11-H'CL, DNP
MMW.2.7.13'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
La 34-H'CL, DNP
H1-91'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
119-a31'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
Nb 84-H'CL, DNP
Mb_25-H'CL, DINI-TRO-PHENYL
12G10'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQ10.2.22'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
121'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
103-6'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
La 70-H'CL, DNP
MMW.2.7.5'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
44SNQP27, 2 PHENY-LOX-A-ZOL-ONE
8/7p11'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
T13.203.37'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MEMORY 16, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
8D5'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
DB2-101.1'CL, 5 DIMETHY-LAMINON-APH-THA-LENE 1 SUL-FONYL HY-BRIDO-MA
103-25'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
Ga_04-H'CL, DINI-TRO-PHENYL
Lb 13-H'CL, DNP
MMW.4.17'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
DF8-611.1'CL, 5 DIMETHY-LAMINON-APH-THA-LENE 1 SUL-FONYL HY-BRIDO-MA
AN12'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=2.1X10-EX-P6
Fc_24-H'CL, DINI-TRO-PHENYL
3B6'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
AN10'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=2.5X10-EX-P7
Jb_40-H'CL, DINI-TRO-PHENYL
CH4A10'CL, FLU-O-RES-CEIN
7D7-3'CL, PARAQUAT
40SNQP29, 2 PHENY-LOX-A-ZOL-ONE
M02/02/01, MUSK ODOR-ANT TRASE-OLIDE  6 ACETYL 1 ISO-PROPYL 2 3 3 5 TETRAM-ETHYL IN-DANE
Jb_09-H'CL, DINI-TRO-PHENYL
3F2'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
3C52'CL, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL HY-BRIDO-MA
MMW.8.19'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
47SNQP39, 2 PHENY-LOX-A-ZOL-ONE
Lb 31-H'CL, DNP
D35'CL, DINI-TRO-PHENYL HY-BRIDO-MA
NQ11.7.12'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MEMORY 7, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
2B8E3'CL, FLU-O-RES-CEIN
Ia_04-H'CL, DINI-TRO-PHENYL
NQT17/53C'CL, 2 PHENY-LOX-A-ZOL-ONE
F10.12-3'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
40SNQP24, 2 PHENY-LOX-A-ZOL-ONE
p9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
A3.D7'CL, FLU-O-RES-CEIN
Na 75-H'CL, DNP
MMW.8.14'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Nb 18-H'CL, DNP
Ga_22-H'CL, DINI-TRO-PHENYL
M02/04/01, MUSK ODOR-ANT TRASE-OLIDE  6 ACETYL 1 ISO-PROPYL 2 3 3 5 TETRAM-ETHYL IN-DANE
MMW.7.5'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
185B'CL, FLU-O-RES-CEIN
d9/1'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
48SNQP102, 2 PHENY-LOX-A-ZOL-ONE
48SNQP113, 2 PHENY-LOX-A-ZOL-ONE
8/23p7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
T13.131.24'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
NQT15/9'CL, 2 PHENY-LOX-A-ZOL-ONE.
6F6'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
Mb_18-H'CL, DINI-TRO-PHENYL
Bg112-10'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
NQ7 34.3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
8/7p13'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
5D3'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
Da_01-H'CL, DINI-TRO-PHENYL
La 40-H'CL, DNP
NQT15/3A'CL, 2 PHENY-LOX-A-ZOL-ONE
Mb_31-H'CL, DINI-TRO-PHENYL
8E3'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
MOPC 315'CL, DINI-TRO-PHENYL HY-BRIDO-MA
B1-8'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
E11-14'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL CON-JU-GAT-ED CHICK-EN GAM-MA GLOB-U-LIN
B1-8.V4'CL, DINI-TRO-PHENY-LAT-ED BOV-INE SERUM AL-BU-MIN HY-BRIDO-MA
Bg110-2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL  KA=2.9X10-EX-P6
7B6'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
AN06'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=1.2X10-EX-P7
Ib_01-H'CL, DINI-TRO-PHENYL
Da_06-H'CL, DINI-TRO-PHENYL
Nb 72-H'CL, DNP
119-a20'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
7C28'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MMW.7.11'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
44SNQP9, 2 PHENY-LOX-A-ZOL-ONE
133.16'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
M02/05/01, MUSK ODOR-ANT TRASE-OLIDE  6 ACETYL 1 ISO-PROPYL 2 3 3 5 TETRAM-ETHYL IN-DANE
La 04-H'CL, DNP
N-HYB'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
B10,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MMW.8.3'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
AN04'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=6.8X10-EX-P6
8/23p9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
NQ22.18.7'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
81.B1'CL, FLU-O-RES-CEIN
8/7p14'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Fa_01-H'CL, DINI-TRO-PHENYL
Na 40-H'CL, DNP
10C11'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Na 09-H'CL, DNP
43SNQP5, 2 PHENY-LOX-A-ZOL-ONE
47SNQP3, 2 PHENY-LOX-A-ZOL-ONE
NQT17/30C'CL, 2 PHENY-LOX-A-ZOL-ONE
103-11'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
Fc_17-H'CL, DINI-TRO-PHENYL
MMW.2.6.13'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
NQT15/10B'CL, 2 PHENY-LOX-A-ZOL-ONE
10G10'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Jb_10-H'CL, DINI-TRO-PHENYL
La 68-H'CL, DNP
Day 2 15-167-6'CL, 2 PHENYL 5 OX-A-ZOL-ONE
17G5'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
Day 4 15-164-10'CL, 2 PHENYL 5 OX-A-ZOL-ONE
48SNQP107, 2 PHENY-LOX-A-ZOL-ONE
PQXB1/2'CL, PARAQUAT
48SNQP118, 2 PHENY-LOX-A-ZOL-ONE
AN11'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=5.0X10-EX-P5
T13.204.70'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Day 2 15-164-3'CL, 2 PHENYL 5 OX-A-ZOL-ONE
