Day 4 15-164-17'CL, 2 PHENYL 5 OX-A-ZOL-ONE
anti-Test'CL, TESTOS-TER-ONE  BIND-ING CON-STANT = 5.41 X 10-EX-P7
anti-DigB'CL, DIGOX-I-GENIN  BIND-ING CON-STANT = 1.15 X 10-EX-P7
22B5'CL, AR-SON-ATE HY-BRIDO-MA
T077'CL, NI-TRO-PHENYL
T099'CL, NI-TRO-PHENYL
FF29-15-1'CL, P AZOPHENY-LAR-SON-ATE
FF29-36-6'CL, P AZOPHENY-LAR-SON-ATE
36-60 CRI-, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=1.4X10-EX-P6
93G7, AR-SON-ATE
NEWM, 3  3  HY-DROXY 3  7  11  15  TETRAM-ETHYL HEX-ADE-CYL  2 METHYL 1 4 NAPH-THO-QUIN-ONE VIT.K1OH
123E6 CRI+, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
A10'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
MOR39'CL, MOR-PHINE
NC10.8'CL,  N  P CYANOPHENYL  N   DIPHENYL-METHYL GUANI-D-INE ACETIC ACID COU-PLED TO BSA
Mab13-1, MESO TETRAKIS 4 CAR-BOXYPHENYL POR-PHYRIN  TCPP
CNJ19'CL, P NI-TRO-PHENYL PHOS-PHO-NATE
B9'CL, DE-SIPRAM-INE
CNJ157'CL, P NI-TRO-PHENYL PHOS-PHO-NATE
C039'CL, NI-TRO-PHENYL
R19.9'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
12S84-3'CL, AR-SON-ATE AN-TI-BODY HY-BRIDO-MA
MA8-13, 2 4 6 TRINI-TRO-PHENYL HEMO-CYANIN HY-BRIDO-MA EP-SILON DNP AMINOCAPROATE BIND-ING CON-STAN-T=1.1X10-EX-P7
T215'CL, NI-TRO-PHENYL
b'CL, 2 PHENY-LOX-A-ZOL 5 ONE
S27'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
CBPC-49'CL, EP-SILON DNP AMINOCAPROATE BIND-ING CON-STAN-T=1.3X10-EX-P6
P65J4-1'CL, P AZOPHENY-LAR-SON-ATE  KA=3.3 TO 6.3X10-EX-P4
NC6.8'CL,  N  P CYANOPHENYL  N   DIPHENYL-METHYL GUANI-D-INE ACETIC ACID COU-PLED TO BSA
MOR180'CL, MOR-PHINE
H8' 'CL, AR-SON-ATE AN-TI-BODY HY-BRIDO-MA
d'CL, 2 PHENY-LOX-A-ZOL 5 ONE
MOR131'CL, MOR-PHINE
A'CL, 2 PHENY-LOX-A-ZOL 5 ONE
T093'CL, NI-TRO-PHENYL
hVH65-107'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=1X10-EX-P3
2A1'CL, TRI-CHOSAN-THIN  AN AC-TIVE COM-P-O-NENT OF A TRA-DI-TION-AL CHI-NESE MEDIC-INE USED FOR IN-DUC-ING ABOR-TION
37A11'CL, AL-PRENOLOL HY-BRIDO-MA
mAb E'CL, HALOPERI-DOL.
C'CL, 2 PHENY-LOX-A-ZOL 5 ONE
h'CL, 2 PHENY-LOX-A-ZOL 5 ONE
AZ-7'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
FF29-12-4'CL, P AZOPHENY-LAR-SON-ATE
mAb D''CL, HALOPERI-DOL.
FF61-2-E5'CL, P AZOPHENY-LAR-SON-ATE
AZ-42'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
5-7, EP-SILON DNP AMINOCAPROATE BIND-ING CON-STAN-T=0.05 TO 0.1X10-EX-P6
E'CL, 2 PHENY-LOX-A-ZOL 5 ONE
j'CL, 2 PHENY-LOX-A-ZOL 5 ONE
A/J-ANTI-ARS, P AZOPHENY-LAR-SON-ATE
hVH65-212'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=3.6X10-EX-P6
3F29-8-2'CL, P AZOPHENY-LAR-SON-ATE
44-10 CRI+, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=4.2X10-EX-P5
12D4'CL, MOR-PHINE
124E1 CRI+, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
R16.7 CRI+'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
3B44'CL, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL HY-BRIDO-MA
D2.4'CL, NI-TROBEN-ZYL PHOS-PHO-NATE  TRAN-SI-TION STATE ANA-LOG
93G7 CRI+'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
P65D6-5'CL, P AZOPHENY-LAR-SON-ATE  KA=3.6X10-EX-P5
G'CL, 2 PHENY-LOX-A-ZOL 5 ONE
FF29-39-2'CL, P AZOPHENY-LAR-SON-ATE
57-2, ESTRA-DI-OL
l'CL, 2 PHENY-LOX-A-ZOL 5 ONE
MOR33'CL, MOR-PHINE
91A3'CL, P AZOPHENY-LAR-SON-ATE
FF29-36-14'CL, P AZOPHENY-LAR-SON-ATE
3F29-5-43'CL, P AZOPHENY-LAR-SON-ATE
n'CL, 2 PHENY-LOX-A-ZOL 5 ONE
mAb368-21'CL, MOR-PHINE 6 HEMISUC-CI-NATE BSA
3G3'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
SM1.5'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
AZ-4'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
K'CL, 2 PHENY-LOX-A-ZOL 5 ONE
Gu0-2'CL, QUANO-S-INE
36-65'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
AZ-12'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
3F29-4-5'CL, P AZOPHENY-LAR-SON-ATE
S2G7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
2G8, AZOBEN-ZYLPHOS-PHO-NATE
AZ-30'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
E4'CL, AR-SON-ATE AN-TI-BODY HY-BRIDO-MA
p'CL, 2 PHENY-LOX-A-ZOL 5 ONE
NC6.7'CL,  N  P CYANOPHENYL  N   DIPHENYL-METHYL GUANI-D-INE ACETIC ACID COU-PLED TO BSA
M'CL, 2 PHENY-LOX-A-ZOL 5 ONE
Bg359-6'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
r'CL, 2 PHENY-LOX-A-ZOL 5 ONE
XP-1, P AZOBEN-ZOATE
S1.2'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
T142'CL, NI-TRO-PHENYL
NC2.3'CL,  N  P CYANOPHENYL  N   DIPHENYL-METHYL GUANI-D-INE ACETIC ACID COU-PLED TO BSA
2717, P AZOBEN-ZOATE
CB5'CL, TRINI-TRO-PHENYL HY-BRIDO-MA
O'CL, 2 PHENY-LOX-A-ZOL 5 ONE
U9A5 CRI+, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA  BALB C
CNJ206'CL, P NI-TRO-PHENYL PHOS-PHO-NATE
3-C4F5, TESTOS-TER-ONE
R16.7' 'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
