category, TP, FP, FN, Precision, Recall, F1-score
hapten, 82, 1, 36, 0.987951807228916, 0.694915254237288, 0.81592039800995
lipid, 19, 17, 4, 0.527777777777778, 0.826086956521739, 0.644067796610169
nucleotide, 39, 69, 12, 0.361111111111111, 0.764705882352941, 0.490566037735849
peptide, 4, 4, 9, 0.5, 0.307692307692308, 0.380952380952381
protein, 148, 52, 60, 0.74, 0.711538461538462, 0.725490196078431
sugar, 27, 6, 21, 0.818181818181818, 0.5625, 0.666666666666667
virus, 25, 6, 13, 0.806451612903226, 0.657894736842105, 0.72463768115942
OVERALL, 344, 155, 155, 0.68937875751503, 0.68937875751503, 0.68937875751503
